1,Tim Burton,director (4 episodes 2022),
2,James Marshall,director (2 episodes 2022),
3,Gandja Monteiro,director (2 episodes 2022),
4,Charles Addams,based on characters created by (8 episodes 2022),
5,Alfred Gough,writer  (4 episodes 2022),
6,Miles Millar,writer  (4 episodes 2022),
7,Kayla Alpert,writer  (2 episodes 2022),
8,April Blair,writer  (2 episodes 2022),
9,Matt Lambert,writer  (1 episodes 2022),
10,Jenna Ortega,actor/actress: Wednesday Addams (8 episodes 2022),
11,Gwendoline Christie,actor/actress: Principal Larissa Weems (8 episodes 2022),
12,Riki Lindhome,actor/actress: Dr. Valerie Kinbott (8 episodes 2022),
13,Emma Myers,actor/actress: Enid Sinclair (8 episodes 2022),
14,Joy Sunday,actor/actress: Bianca Barclay (8 episodes 2022),
15,Naomi J. Ogawa,actor/actress: Yoko Tanaka (8 episodes 2022),
16,Christina Ricci,actor/actress: Marilyn Thornhill (8 episodes 2022),
17,Jamie McShane,actor/actress: Sheriff Donovan Galpin (8 episodes 2022),
18,Hunter Doohan,actor/actress: Tyler Galpin (8 episodes 2022),
19,Percy Hynes White,actor/actress: Xavier Thorpe (8 episodes 2022),
20,Georgie Farmer,actor/actress: Ajax Petropolus (8 episodes 2022),
21,Johnna Dias-Watson,actor/actress: Divina (8 episodes 2022),
22,Oliver Watson,actor/actress: Kent (8 episodes 2022),
23,Victor Dorobantu,actor/actress: Thing (8 episodes 2022),
24,Moosa Mostafa,actor/actress: Eugene Ottinger (8 episodes 2022),
25,Daniel Himschoot,actor/actress: Hyde Monster (8 episodes 2022),
26,Luyanda Unati Lewis-Nyawo,actor/actress: Deputy Ritchie Santiago (8 episodes 2022),
27,Iman Marson,actor/actress: Lucas (8 episodes 2022),
28,Calum Ross,actor/actress: Rowan Laslow (8 episodes 2022),
29,Cezar Grumazescu,actor/actress: Coach Vlad (8 episodes 2022),
30,Tommie Earl Jenkins,actor/actress: Mayor Noble Walker (8 episodes 2022),
31,Catherine Zeta-Jones,actor/actress: Morticia Addams (8 episodes 2022),
32,Morgan Beale,actor/actress: Jonah (8 episodes 2022),
33,George Burcea,actor/actress: Lurch (8 episodes 2022),
34,Islam Bouakkaz,actor/actress: Carter (8 episodes 2022),
35,William Houston,actor/actress: Joseph Crackstone (8 episodes 2022),
36,Karina Varadi,actor/actress: Wednesday (6yo)  (8 episodes 2022),
37,Rina Mahoney,actor/actress: Janet Ottinger (8 episodes 2022),
38,Georgia Goodman,actor/actress: Sue Ottinger (8 episodes 2022),
39,Murray McArthur,actor/actress: Fabian (8 episodes 2022),
40,Fred Armisen,actor/actress: Uncle Fester (8 episodes 2022),
